audio_id,category,human_label,asr_transcript,normalized_human,normalized_asr,wer,sub,del,ins,ref_word_count,status,error_message
RB_0030,general_utterance,طيب مافي فرع ثاني غير هذول الفرعين,طيب، ما في طرف ثاني غير هذول الفرعين.,طيب مافي فرع ثاني غير هذول الفرعين,طيب، ما في طرف ثاني غير هذول الفرعين,0.5714,3,0,1,7,success,
RB_0094,branch_code,121,921.,121,921,1.0000,1,0,0,1,success,
RB_0158,unclear,300 | مول أرامكو,319، مول أرامكو.,300 مول ارامكو,319، مول ارامكو,0.3333,1,0,0,3,success,
RB_0414,general_utterance,شارع | حراء | شارع حراء. حراء,حراء. شارع حراء. شارع حراء. حراء.,شارع حراء شارع حراء حراء,حراء شارع حراء شارع حراء حراء,0.2000,0,0,1,5,success,
RB_0350,general_utterance,الأرض | خاوية | الطاوية | الطاوية | الطاوية | الطاوية | الطاوية | الطاوية,الأرطاوية، الأرطاوية، الأرطاوية، الأرطاوية، الأرطاوية، العرعر، الأرطاوية.,الارض خاويه الطاويه الطاويه الطاويه الطاويه الطاويه الطاويه,الارطاوية، الارطاوية، الارطاوية، الارطاوية، الارطاوية، العرعر، الارطاوية,1.0000,7,1,0,8,success,
RB_0286,unclear,506. مدينة الملك فيصل العسكرية,506، مدينة الملك فيصل العسكرية.,506 مدينه الملك فيصل العسكريه,506، مدينه الملك فيصل العسكرية,0.4000,2,0,0,5,success,
RB_0222,branch_code,307. الفيصلية,347، الفيصلية.,307 الفيصليه,347، الفيصلية,1.0000,2,0,0,2,success,
RB_0095,branch_code,123,320.,123,320,1.0000,1,0,0,1,success,
RB_0031,general_utterance,مافهمتيني أنا قاعده أسألك ايش الفرع القريب مني,مرحبًا، فين؟ أنا قاعدة أسألك عن الفرع القريب مني.,مافهمتيني انا قاعده اسالك ايش الفرع القريب مني,مرحبا، فين؟ انا قاعده اسالك عن الفرع القريب مني,0.3750,2,0,1,8,success,
RB_0287,general_utterance,اسمي | وسبعة | النعمان | خمس مئة | وسبعة,507، النعمان. 507.,اسمي 7 النعمان 112,507، النعمان 507,0.7500,2,1,0,4,success,
RB_0351,general_utterance,الرسم | الرس | الرأس | فرع | الرس | الرس,الرس، الرس، الرس. الرس، الرس، الرس. الرس فرع الرس. الرس.,الرسم الرس الراس فرع الرس الرس,الرس، الرس، الرس الرس، الرس، الرس الرس فرع الرس الرس,1.0000,2,0,4,6,success,
RB_0223,unclear,338 | ألواح | الدمام,348، الواحد، دمام.,338 الواح الدمام,348، الواحد، دمام,1.0000,3,0,0,3,success,
RB_0159,general_utterance,ثلاثمائة | وتسعة عشر | قاعدة | الجبيل البحرية,319 قاعدة الجبيل البحرية.,319 قاعده الجبيل البحريه,319 قاعده الجبيل البحرية,0.2500,1,0,0,4,success,
